key;fare_amount;pickup_datetime;pickup_Datum;pickup_Stunde;pickup_Zeitzone;Startlongitude;Startlatitude;Distance_km;passenger_count
2013-09-07 22:29:00.0000004;16,5;2013-09-07 22:29:00 UTC;2013-09-07;22:29:00;UTC;-73,995000;40,731000;5,461056;1
2013-07-31 06:51:13.0000001;19;2013-07-31 06:51:13 UTC;2013-07-31;06:51:13;UTC;-73,988000;40,764000;5,701352;1
2011-05-02 12:44:59.0000008;15,3;2011-05-02 12:44:59 UTC;2011-05-02;12:44:59;UTC;-74,006000;40,751000;6,209593;1
2010-05-22 23:29:57.0000003;25,3;2010-05-22 23:29:57 UTC;2010-05-22;23:29:57;UTC;-74,001000;40,741000;8,742018;1
2009-12-06 11:58:29.0000001;18,1;2009-12-06 11:58:29 UTC;2009-12-06;11:58:29;UTC;-74,008000;40,748000;6,705812;2
2010-03-27 22:20:51.0000004;12,1;2010-03-27 22:20:51 UTC;2010-03-27;22:20:51;UTC;-73,870000;40,773000;5,208980;1
2014-07-11 05:07:00.0000007;25;2014-07-11 05:07:00 UTC;2014-07-11;05:07:00;UTC;-73,951000;40,772000;7,083025;2
2015-06-02 23:16:15.00000012;34;2015-06-02 23:16:15 UTC;2015-06-02;23:16:15;UTC;-73,974000;40,751000;7,976153;0
2012-11-08 20:07:35.0000002;23,5;2012-11-08 20:07:35 UTC;2012-11-08;20:07:35;UTC;-73,992000;40,754000;9,540320;1
2013-04-01 00:04:15.0000002;20,33;2013-04-01 00:04:15 UTC;2013-04-01;00:04:15;UTC;-73,994000;40,750000;5,314042;1
2014-06-25 17:43:16.0000003;23,5;2014-06-25 17:43:16 UTC;2014-06-25;17:43:16;UTC;-73,958000;40,775000;5,036121;1
2013-03-22 19:20:00.00000061;21,5;2013-03-22 19:20:00 UTC;2013-03-22;19:20:00;UTC;-73,955000;40,773000;6,337374;6
2012-09-15 02:17:00.00000075;29;2012-09-15 02:17:00 UTC;2012-09-15;02:17:00;UTC;-74,003000;40,733000;6,574184;1
2009-01-02 10:13:46.0000001;14,5;2009-01-02 10:13:46 UTC;2009-01-02;10:13:46;UTC;-73,947000;40,780000;5,047661;2
2010-08-21 14:22:57.0000001;13,3;2010-08-21 14:22:57 UTC;2010-08-21;14:22:57;UTC;-74,005000;40,717000;5,182534;2
2010-08-07 13:46:00.000000124;14,5;2010-08-07 13:46:00 UTC;2010-08-07;13:46:00;UTC;-74,002000;40,739000;5,953669;1
2012-11-11 03:12:00.000000108;16,5;2012-11-11 03:12:00 UTC;2012-11-11;03:12:00;UTC;-74,003000;40,743000;6,603995;1
2014-08-05 20:46:20.0000002;11;2014-08-05 20:46:20 UTC;2014-08-05;20:46:20;UTC;-73,873000;40,774000;5,660842;1
2012-09-19 09:22:56.0000002;28,5;2012-09-19 09:22:56 UTC;2012-09-19;09:22:56;UTC;-73,952000;40,772000;5,705079;1
2010-09-30 07:56:00.000000204;16,1;2010-09-30 07:56:00 UTC;2010-09-30;07:56:00;UTC;-73,986000;40,725000;5,970979;5
2010-05-07 20:05:00.000000228;14,9;2010-05-07 20:05:00 UTC;2010-05-07;20:05:00;UTC;-73,968000;40,762000;5,800524;2
2013-09-19 23:58:08.0000006;20,5;2013-09-19 23:58:08 UTC;2013-09-19;23:58:08;UTC;-73,989000;40,747000;7,532964;1
2013-07-27 23:20:00.000000228;20,5;2013-07-27 23:20:00 UTC;2013-07-27;23:20:00;UTC;-73,984000;40,716000;7,473581;6
2013-01-04 17:06:26.0000004;17;2013-01-04 17:06:26 UTC;2013-01-04;17:06:26;UTC;-74,001000;40,756000;6,312130;1
2012-09-08 05:19:00.0000007;20;2012-09-08 05:19:00 UTC;2012-09-08;05:19:00;UTC;-73,996000;40,738000;6,045148;2
2012-07-31 07:20:31.0000001;8,1;2012-07-31 07:20:31 UTC;2012-07-31;07:20:31;UTC;-73,918000;40,754000;6,156100;1
2009-10-16 22:54:39.0000003;35,07;2009-10-16 22:54:39 UTC;2009-10-16;22:54:39;UTC;-73,994000;40,739000;6,993590;1
2014-01-09 21:55:00.00000024;21,5;2014-01-09 21:55:00 UTC;2014-01-09;21:55:00;UTC;-74,001000;40,741000;5,154766;1
2015-02-22 12:46:09.0000005;26,5;2015-02-22 12:46:09 UTC;2015-02-22;12:46:09;UTC;-74,013000;40,716000;8,011920;1
2014-11-24 02:46:00.00000011;27;2014-11-24 02:46:00 UTC;2014-11-24;02:46:00;UTC;-74,008000;40,710000;9,756935;1
2011-09-25 14:09:00.000000182;24,9;2011-09-25 14:09:00 UTC;2011-09-25;14:09:00;UTC;-73,994000;40,750000;5,869764;2
2015-03-22 14:23:12.0000004;22,5;2015-03-22 14:23:12 UTC;2015-03-22;14:23:12;UTC;-73,962000;40,779000;5,246817;4
2012-09-23 02:57:00.00000030;24,5;2012-09-23 02:57:00 UTC;2012-09-23;02:57:00;UTC;-73,995000;40,749000;6,571419;3
2014-02-16 09:05:34.0000002;12,5;2014-02-16 09:05:34 UTC;2014-02-16;09:05:34;UTC;-73,996000;40,756000;5,089493;1
2012-11-28 08:30:00.000000119;18;2012-11-28 08:30:00 UTC;2012-11-28;08:30:00;UTC;-74,006000;40,748000;5,188184;1
2009-03-15 02:15:39.0000002;53;2009-03-15 02:15:39 UTC;2009-03-15;02:15:39;UTC;-73,993000;40,719000;5,668536;1
2009-06-24 19:42:01.0000001;13,7;2009-06-24 19:42:01 UTC;2009-06-24;19:42:01;UTC;-74,001000;40,732000;5,301540;1
2010-04-02 03:08:00.00000051;13,3;2010-04-02 03:08:00 UTC;2010-04-02;03:08:00;UTC;-73,992000;40,724000;7,294832;1
2014-06-14 20:48:12.0000002;22,5;2014-06-14 20:48:12 UTC;2014-06-14;20:48:12;UTC;-73,991000;40,750000;6,795126;2
2011-09-24 23:20:00.000000112;13,7;2011-09-24 23:20:00 UTC;2011-09-24;23:20:00;UTC;-73,953000;40,779000;5,067976;3
2011-12-22 11:07:00.00000037;29,3;2011-12-22 11:07:00 UTC;2011-12-22;11:07:00;UTC;-73,942000;40,837000;9,377198;2
