key;fare_amount;pickup_datetime;Distance_km;passenger_count
2014-02-19 12:48:00.00000053;17,5;2014-02-19 12:48:00 UTC;4,516341;1
2010-08-07 13:46:00.000000124;14,5;2010-08-07 13:46:00 UTC;5,953669;1
2012-04-22 17:10:00.00000013;49,8;2012-04-22 17:10:00 UTC;4,988278;1
2010-02-03 20:51:29.0000003;12,9;2010-02-03 20:51:29 UTC;4,345284;1
2014-05-01 14:20:00.000000142;22;2014-05-01 14:20:00 UTC;4,957384;1
2014-08-05 20:46:20.0000002;11;2014-08-05 20:46:20 UTC;5,660842;1
2012-09-19 09:22:56.0000002;28,5;2012-09-19 09:22:56 UTC;5,705079;1
2010-09-30 07:56:00.000000204;16,1;2010-09-30 07:56:00 UTC;5,970979;5
2012-11-12 17:59:46.0000003;15,5;2012-11-12 17:59:46 UTC;4,685594;1
2015-03-14 22:19:01.0000005;14;2015-03-14 22:19:01 UTC;4,017883;2
2015-04-05 00:54:56.0000003;27;2015-04-05 00:54:56 UTC;4,432419;1
2010-05-07 20:05:00.000000228;14,9;2010-05-07 20:05:00 UTC;5,800524;2
2012-03-21 05:27:08.0000002;16,1;2012-03-21 05:27:08 UTC;4,969165;1
2011-12-01 15:38:24.0000001;12,1;2011-12-01 15:38:24 UTC;4,034306;2
2013-05-25 02:42:55.0000002;8;2013-05-25 02:42:55 UTC;4,079985;2
2010-06-15 01:06:00.00000045;8,9;2010-06-15 01:06:00 UTC;4,294556;1
2011-10-10 07:32:00.00000027;11,3;2011-10-10 07:32:00 UTC;4,278809;1
2012-03-13 21:24:00.000000126;13,7;2012-03-13 21:24:00 UTC;4,488813;1
2014-01-09 21:55:00.00000024;21,5;2014-01-09 21:55:00 UTC;5,154766;1
2015-04-01 22:29:31.0000003;13,5;2015-04-01 22:29:31 UTC;4,135273;1
2011-09-25 14:09:00.000000182;24,9;2011-09-25 14:09:00 UTC;5,869764;2
2015-03-22 14:23:12.0000004;22,5;2015-03-22 14:23:12 UTC;5,246817;4
2009-11-05 00:57:13.0000001;15,7;2009-11-05 00:57:13 UTC;4,569232;1
2014-02-16 09:05:34.0000002;12,5;2014-02-16 09:05:34 UTC;5,089493;1
2011-08-25 07:35:23.0000001;13,3;2011-08-25 07:35:23 UTC;4,912547;1
2012-11-28 08:30:00.000000119;18;2012-11-28 08:30:00 UTC;5,188184;1
2009-03-15 02:15:39.0000002;53;2009-03-15 02:15:39 UTC;5,668536;1
2009-06-29 11:45:00.000000138;15,3;2009-06-29 11:45:00 UTC;4,880451;1
2011-11-11 04:06:20.0000003;9,7;2011-11-11 04:06:20 UTC;4,366561;1
2009-06-24 19:42:01.0000001;13,7;2009-06-24 19:42:01 UTC;5,301540;1
2011-06-01 22:39:35.0000001;11,7;2011-06-01 22:39:35 UTC;4,769499;1
2011-11-13 12:59:00.000000197;13,3;2011-11-13 12:59:00 UTC;4,233130;1
2009-06-25 16:21:00.00000040;12,1;2009-06-25 16:21:00 UTC;4,383390;1
2010-07-11 13:32:00.000000179;12,9;2010-07-11 13:32:00 UTC;4,067243;1
2012-12-16 02:09:05.0000004;10,5;2012-12-16 02:09:05 UTC;4,399258;1
2014-11-23 08:42:00.00000023;10;2014-11-23 08:42:00 UTC;4,859415;1
2011-09-24 23:20:00.000000112;13,7;2011-09-24 23:20:00 UTC;5,067976;3
